audio,rir,tipo,valor_aug,banda,t30,c50,c80,d50,drr
F1s3.wav,classroom_00x05y.wav,DRR_aug,-6.0,1000,1.9166029402006595,-3.0663106448618294,0.11581095997136344,33.04735339539379,-7.404917571750281
F1s3.wav,classroom_00x05y.wav,DRR_aug,-6.0,2000,1.9613763606908825,-2.697706777499185,-0.6812672917908675,34.951541337103265,-6.0714170456062355
F1s3.wav,classroom_00x05y.wav,DRR_aug,-6.0,4000,1.7300459732716784,-2.0086139937816014,0.9637587511866358,38.63928121919257,-4.5546516382907924
F1s3.wav,classroom_00x05y.wav,DRR_aug,-6.0,8000,1.3137837726380055,-1.197266026129637,1.866450334765788,43.15130288953351,-3.5371532455797654
F1s3.wav,classroom_00x05y.wav,DRR_aug,-3.0,125,,-8.622755727400943,-6.466031223987207,12.073769539446927,-10.668036243561335
F1s3.wav,classroom_00x05y.wav,DRR_aug,-3.0,250,2.1134446646503506,-3.653452327415953,-1.4845841180438526,30.127400851348103,-6.151871917853651
F1s3.wav,classroom_00x05y.wav,DRR_aug,-3.0,500,1.9757866421568326,-2.264339410497263,-0.9349043471909282,37.25288014170349,-5.683691253254203
F1s3.wav,classroom_00x05y.wav,DRR_aug,-3.0,1000,1.9147657200194974,-1.5094393814539095,1.192055675125803,41.39739333873196,-4.5290071665202785
F1s3.wav,classroom_00x05y.wav,DRR_aug,-3.0,2000,1.959826733018507,-0.7607438478474207,0.8607147685151959,45.63196964181202,-3.080519850428502
F1s3.wav,classroom_00x05y.wav,DRR_aug,-3.0,4000,1.7268031532524108,0.27408975393604984,2.6699010032852035,51.577263960400344,-1.4803303629700646
F1s3.wav,classroom_00x05y.wav,DRR_aug,-3.0,8000,1.3133838057108425,1.1816411925190564,3.683528730388805,56.76041919425211,-0.47192842816724895
F1s3.wav,classroom_00x05y.wav,DRR_aug,0.0,125,,-6.943232325959039,-5.307417429104376,16.815802520978014,-13.217165705191256
F1s3.wav,classroom_00x05y.wav,DRR_aug,0.0,250,2.100514112489726,-1.6805968628267876,0.03183413730101043,40.44465075062469,-3.7282690078868934
F1s3.wav,classroom_00x05y.wav,DRR_aug,0.0,500,1.9747822104703325,-0.21565311228267903,0.834763081770335,48.758855911130034,-2.858162433003633
F1s3.wav,classroom_00x05y.wav,DRR_aug,0.0,1000,1.9105820572169212,0.5235523041890237,2.7604142973324093,53.01016468142994,-1.614492736329566
F1s3.wav,classroom_00x05y.wav,DRR_aug,0.0,2000,1.9584072520623876,1.5861567180327032,2.88907636679737,59.03049297091795,-0.08991603835975817
F1s3.wav,classroom_00x05y.wav,DRR_aug,0.0,4000,1.7230909970030954,2.8758173588581224,4.849947730253395,65.97502433847333,1.5690985399760606
F1s3.wav,classroom_00x05y.wav,DRR_aug,0.0,8000,1.3122143449700723,3.843409917545934,5.951133671192932,70.78526884544881,2.5714202691943093
F1s3.wav,classroom_00x05y.wav,DRR_aug,6.0,125,,-2.0113407160449768,-1.2394403047876597,38.62439634804804,-7.560136762753825
F1s3.wav,classroom_00x05y.wav,DRR_aug,6.0,250,2.0757099673388644,3.1617499788222494,4.273151014360254,67.43705890997485,1.387727943114061
F1s3.wav,classroom_00x05y.wav,DRR_aug,6.0,500,1.980373102194773,4.842926077561814,5.551285901216804,75.30833234665513,2.6466026196448267
